seed;npatches;max_simulation_time;simulation_time_change;n;skip;fecundity;df;dm;sf;sm;toptf;toptm;omegaf;omegam;ab_min;ab_max;amplitude;intercept;intercept_change;init_t;max_t_season;init_a;init_b;init_depth;mu_a;mu_b;mu_t;mu_depth;mu_depth_slope;temp_error_sd;unif_range_sdmu_t;sdmu;time;a;var_a;b;var_b;t;var_t;depth;var_depth;depth_slope;var_depth_slope;surviving_male_juvs;surviving_female_juvs;surviving_male_adults;surviving_female_adults;available_males;available_females;already_attempted_males;already_attempted_females;surviving_juv_sr;adult_sr;nf;nm;mean_environment;var_environment;surviving_male_juvs_998999;surviving_female_juvs_998999;surviving_male_juvs_999049;surviving_female_juvs_999049;file
293672370;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.616665;0.00224193;-9.64039;0.0358993;5.9912;0.433523;0.162428;0.00559203;-0.790971;0.0274838;0;0;0;0;0;0;0;0;0;0.3372;6.628;3.372;-0.00570614;0.0096072;9.9;21.244;8.988;20.452;./sim_seasonal_tsd_25_03_2026_103354_1211
1967030581;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.624912;0.00217958;9.78675;0.0278338;5.9796;0.239984;0.07351;0.00501613;-0.71854;0.0141083;0;0;0;0;0;0;0;0;0;0.6956;3.044;6.956;0.00241184;0.00927436;9.44;3.604;9.236;3.176;./sim_seasonal_tsd_25_03_2026_103354_1206
781168683;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.622819;0.00280984;-9.78052;0.0220666;5.9828;0.306504;0.126978;0.00867934;-0.869637;0.0221489;0;0;0;0;0;0;0;0;0;0.2472;7.528;2.472;-0.00539006;0.0094103;9.152;22.052;9.908;19.496;./sim_seasonal_tsd_25_03_2026_103354_1203
1159589773;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.619401;0.00172153;9.05084;0.0160148;5.9476;0.293654;0.207173;0.00847534;-0.971633;0.0214601;0;0;0;0;0;0;0;0;0;0.7172;2.828;7.172;0.00300772;0.0100145;9.508;4.38;10.784;5.732;./sim_seasonal_tsd_25_03_2026_103354_1208
2043995465;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.627142;0.00297675;-9.046;0.0318005;5.9472;0.424412;0.301283;0.0278592;-1.45839;0.0055023;0;0;0;0;0;0;0;0;0;0.302;6.98;3.02;0.00833905;0.00845271;8.268;21.656;10.14;21.6;./sim_seasonal_tsd_25_03_2026_103354_1207
427034437;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.602852;0.00206297;-9.28542;0.0110863;5.9428;0.389128;0.0706122;0.00323234;-0.988011;0.0190864;0;0;0;0;0;0;0;0;0;0.2772;7.228;2.772;-0.00563598;0.0119095;9.6;19.68;8.232;20.408;./sim_seasonal_tsd_25_03_2026_103354_1205
3629127990;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.618565;0.00339945;7.98751;0.0126533;5.9856;0.251793;0.142343;0.016477;-0.990575;0.00982523;0;0;0;0;0;0;0;0;0;0.7724;2.276;7.724;-0.00711371;0.00908201;9.884;4.288;10.556;3.888;./sim_seasonal_tsd_25_03_2026_103354_1202
2291963093;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.622688;0.00264459;9.50098;0.0152944;5.982;0.228876;0.223799;0.0113625;-0.787953;0.0182091;0;0;0;0;0;0;0;0;0;0.7236;2.764;7.236;0.00749983;0.0107979;8.976;2.296;7.168;2.736;./sim_seasonal_tsd_25_03_2026_103354_1204
3419879436;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.64038;0.00342038;7.34055;0.0177495;5.9748;0.212565;0.155801;0.009151;-0.899457;0.00675829;0;0;0;0;0;0;0;0;0;0.7284;2.716;7.284;0.00353849;0.0116981;7.988;4.056;11.324;3.908;./sim_seasonal_tsd_25_03_2026_103354_1210
1724850858;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.63152;0.00284576;8.91678;0.0329072;5.9672;0.247724;0.0666807;0.0035843;-0.521675;0.00501394;0;0;0;0;0;0;0;0;0;0.7308;2.692;7.308;-0.000322935;0.0111203;12.644;4.068;9.268;2.872;./sim_seasonal_tsd_25_03_2026_103354_1214
