seed;npatches;max_simulation_time;simulation_time_change;n;skip;fecundity;df;dm;sf;sm;toptf;toptm;omegaf;omegam;ab_min;ab_max;amplitude;intercept;intercept_change;init_t;max_t_season;init_a;init_b;init_depth;mu_a;mu_b;mu_t;mu_depth;mu_depth_slope;temp_error_sd;unif_range_sdmu_t;sdmu;time;a;var_a;b;var_b;t;var_t;depth;var_depth;depth_slope;var_depth_slope;surviving_male_juvs;surviving_female_juvs;surviving_male_adults;surviving_female_adults;available_males;available_females;already_attempted_males;already_attempted_females;surviving_juv_sr;adult_sr;nf;nm;mean_environment;var_environment;surviving_male_juvs_998999;surviving_female_juvs_998999;surviving_male_juvs_999049;surviving_female_juvs_999049;file
3666479205;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.25;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;1000000;0.672316;0.00982948;3.39602;0.0496777;5.9036;0.275907;0.0511519;0.00246294;0;0;0;0;0;0;0;0;0;0;0;0.302;6.98;3.02;0.256469;0.0106659;16.7;13.6;5.188;26.088;./sim_seasonal_tsd_24_03_2026_113829_18
1082214192;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.5;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;1000000;0.664305;0.00334728;5.40374;0.0486511;5.8168;0.565638;0.212691;0.00350441;0;0;0;0;0;0;0;0;0;0;0;0.1428;8.572;1.428;0.497697;0.00984226;18.288;12.548;0.308;16.452;./sim_seasonal_tsd_24_03_2026_113829_24
2985641388;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.25;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;1000000;0.661273;0.00321152;5.77267;0.0313114;5.9212;0.268591;0.0791474;0.00566316;0;0;0;0;0;0;0;0;0;0;0;0.2828;7.172;2.828;0.254496;0.0088718;17.672;11.764;3.484;25.564;./sim_seasonal_tsd_24_03_2026_113829_14
2651451667;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.5;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;1000000;0.70839;0.0129953;4.22646;0.0186498;3.9092;0.330555;0.0239409;0.0011118;0;0;0;0;0;0;0;0;0;0;0;0.1968;8.032;1.968;0.511069;0.00965071;16.816;13.136;0.54;18.1;./sim_seasonal_tsd_24_03_2026_113829_26
2114929976;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.5;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.779246;0.0179991;5.22145;0.0394736;5.9204;0.230864;0.159341;0.00256732;-0.151634;0.000409228;0;0;0;0;0;0;0;0;0;0.4188;5.812;4.188;0.491666;0.0102839;18.596;17.052;0.104;8.748;./sim_seasonal_tsd_24_03_2026_113829_62
4022972478;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.25;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.693749;0.00365538;6.87999;0.0297758;5.9288;0.241331;0.0690445;0.00221079;-0.0448649;0.00347231;0;0;0;0;0;0;0;0;0;0.3644;6.356;3.644;0.245541;0.0092434;20.32;18.14;3.076;27.448;./sim_seasonal_tsd_24_03_2026_113829_44
2092546941;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.25;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;1000000;0.689527;0.0150092;4.91147;0.0131918;5.9352;0.291001;0.07586;0.00475194;0;0;0;0;0;0;0;0;0;0;0;0.3296;6.704;3.296;0.252173;0.010157;17.948;14.476;4.272;28.228;./sim_seasonal_tsd_24_03_2026_113829_12
935450986;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.05;0.05;-10;10;1;0;0.25;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;1000000;0.63888;0.00723338;-2.16766;0.0167647;3.914;0.281804;0.00558713;0.000228724;0;0;0;0;0;0;0;0;0;0;0;0.4308;5.692;4.308;0.249242;0.0109723;16.876;25.804;30.948;8.892;./sim_seasonal_tsd_24_03_2026_113829_1
963547014;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.5;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;1000000;0.737801;0.00595683;4.72286;0.0422;3.8752;0.310825;0.050278;0.00160872;0;0;0;0;0;0;0;0;0;0;0;0.2784;7.216;2.784;0.5013;0.00940044;18.628;14.12;0.292;17.344;./sim_seasonal_tsd_24_03_2026_113829_36
3222326599;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.05;0.05;-10;10;1;0;0.25;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;1000000;0.636654;0.00572049;-4.07368;0.00840369;3.9096;0.275828;0.00743143;0.000455663;0;0;0;0;0;0;0;0;0;0;0;0.4164;5.836;4.164;0.243105;0.0105746;18.08;26.172;34.848;7.168;./sim_seasonal_tsd_24_03_2026_113829_19
