seed;type;npatches;n;df;dm;sf;sm;toptf;toptm;omegaf;omegam;ab_min;ab_max;amplitude;intercept;intercept_change;simulation_time_change;interval_before_after_change;skip_output;init_t;max_t_season;init_a;init_b;mu_a;mu_b;mu_t;mu_tb;mu_time_threshold;mu_tmax;sdmu;temp_error_sd;cue_error;time;a;var_a;b;var_b;temp_a;var_temp_a;temp_b;var_temp_b;tmax;var_tmax;time_threshold;var_time_threshold;surviving_male_juvs;surviving_female_juvs;surviving_male_adults;surviving_female_adults;available_males;available_females;already_attempted_males;already_attempted_females;surviving_juv_sr;adult_sr;adult_surv_sr;nf;nm;mean_environment;var_environment;surviving_male_juvs_998999;surviving_female_juvs_998999;surviving_male_juvs_999049;surviving_female_juvs_999049;file
3611653253;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.65032;0.00248445;-8.07585;0.0274555;0.700904;0.035383;0;0;0.958278;0.00222746;5.9712;0.471171;0;0;0;0;0;0;0;0;0;0.4272;0;5.728;4.272;-1.94273e-12;1.10203e-38;17.756;24.364;19.256;22.212;./sim_seasonal_tsd_19_03_2026_171640_1
2425676929;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.663715;0.00178026;8.65506;0.0542933;0.279877;0.0181914;0;0;0.969169;0.00131313;6.0504;0.50226;0;0;0;0;0;0;0;0;0;0.5344;0;4.656;5.344;-1.94273e-12;1.10203e-38;21.176;19.432;21.444;19.864;./sim_seasonal_tsd_19_03_2026_171640_2
2509152601;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.650818;0.00219989;-8.21661;0.0170941;1.46742;0.0778248;0;0;0.965424;0.00210216;5.932;0.505776;0;0;0;0;0;0;0;0;0;0.3908;0;6.092;3.908;-1.94273e-12;1.10203e-38;17.208;24.76;18.04;26.48;./sim_seasonal_tsd_19_03_2026_171640_3
353207858;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.669484;0.00273618;9.5223;0.0219909;0.151176;0.0283831;0;0;0.965956;0.00164041;6.0544;0.416241;0;0;0;0;0;0;0;0;0;0.5228;0;4.772;5.228;-1.94273e-12;1.10203e-38;20.58;21.048;18.696;18.476;./sim_seasonal_tsd_19_03_2026_171640_4
946742147;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.655702;0.00257199;-9.42922;0.0180071;-0.48655;0.0280328;0;0;0.967;0.0020477;5.9332;0.415138;0;0;0;0;0;0;0;0;0;0.4096;0;5.904;4.096;-1.94273e-12;1.10203e-38;20.392;26.196;17.548;24.408;./sim_seasonal_tsd_19_03_2026_171640_5
1504538501;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.636488;0.00202254;-8.68816;0.0348074;0.647773;0.00101019;9.86706;0.0108245;0.943399;0.00333792;0;0;0;0;0;0;0;0;0;0;0;0.532;0;4.68;5.32;-1.94273e-12;1.10203e-38;21.26;21.724;19.964;19.552;./sim_seasonal_tsd_19_03_2026_171640_1205
1862236251;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.657235;0.0015465;9.26042;0.0103943;0.64897;0.0015116;9.91699;0.00513265;0.934303;0.0044018;0;0;0;0;0;0;0;0;0;0;0;0.5292;0;4.708;5.292;-1.94273e-12;1.10203e-38;20.416;21.948;20.716;20.056;./sim_seasonal_tsd_19_03_2026_171640_1202
1535639503;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.646216;0.00185644;-9.91228;0.00483989;0.651669;0.001122;9.93992;0.00391855;0.95037;0.00336268;0;0;0;0;0;0;0;0;0;0;0;0.4776;0;5.224;4.776;-1.94273e-12;1.10203e-38;17.892;20.096;20.976;21.968;./sim_seasonal_tsd_19_03_2026_171640_1203
1331743037;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.656664;0.00307306;-8.47091;0.023551;-0.109526;0.049478;0;0;0.968802;0.0015453;5.9572;0.382568;0;0;0;0;0;0;0;0;0;0.394;0;6.06;3.94;-1.94273e-12;1.10203e-38;19.64;23.208;20.296;24.484;./sim_seasonal_tsd_19_03_2026_171640_7
3900785398;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.654581;0.00266821;8.99263;0.0163037;0.652028;0.00122812;9.91044;0.0052758;0.96034;0.0023824;0;0;0;0;0;0;0;0;0;0;0;0.4972;0;5.028;4.972;-1.94273e-12;1.10203e-38;20.372;20.516;20.648;20.224;./sim_seasonal_tsd_19_03_2026_171640_1206
