seed;type;npatches;n;df;dm;sf;sm;toptf;toptm;omegaf;omegam;ab_min;ab_max;amplitude;intercept;intercept_change;simulation_time_change;interval_before_after_change;skip_output;init_t;max_t_season;init_a;init_b;mu_a;mu_b;mu_t;mu_tb;mu_time_threshold;mu_tmax;sdmu;temp_error_sd;cue_error;time;a;var_a;b;var_b;temp_a;var_temp_a;temp_b;var_temp_b;tmax;var_tmax;time_threshold;var_time_threshold;surviving_male_juvs;surviving_female_juvs;surviving_male_adults;surviving_female_adults;available_males;available_females;already_attempted_males;already_attempted_females;surviving_juv_sr;adult_sr;adult_surv_sr;nf;nm;mean_environment;var_environment;surviving_male_juvs_998999;surviving_female_juvs_998999;surviving_male_juvs_999049;surviving_female_juvs_999049;file
2152214677;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.6;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.656556;0.00223851;-9.03705;0.0401051;0.700774;0.00205044;9.93917;0.00375311;1.93187;0.00560133;0;0;0;0;0;0;0;0;0;0;0;0.4684;0;5.316;4.684;0.6;-2.22045e-15;23.724;20.532;39.348;15.28;./sim_seasonal_tsd_26_03_2026_093925_19
2121581025;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.6;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.660144;0.0022555;8.2911;0.0428246;0.713455;0.00225261;9.93752;0.00827799;1.92637;0.00516688;0;0;0;0;0;0;0;0;0;0;0;0.4532;0;5.468;4.532;0.6;-2.22045e-15;21.6;25.328;17.08;43.512;./sim_seasonal_tsd_26_03_2026_093925_16
2640219876;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.6;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;999050;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;0;0;0;0;0;0;2.628;7.372;0;0;0;0;0;0.6;-2.77556e-15;16.116;45.808;0.0;0.0;./sim_seasonal_tsd_26_03_2026_093925_4
471637;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.6;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;999050;-1.03112;0.040939;-0.0526325;0.0250357;0.601289;0.0250735;0;0;1.97348;0.00186666;5.6116;0.351145;0.072;0;0;0;0;0;1.756;8.244;1;1;0;0;10;0.6;-2.77556e-15;10.14;52.74;0.072;0.0;./sim_seasonal_tsd_26_03_2026_093925_3
4262323165;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.6;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.654382;0.00226373;-8.74544;0.00804199;0.702695;0.00209092;9.90043;0.00988881;1.94417;0.00479609;0;0;0;0;0;0;0;0;0;0;0;0.484;0;5.16;4.84;0.6;-2.22045e-15;22.48;21.484;36.78;20.576;./sim_seasonal_tsd_26_03_2026_093925_11
2946056831;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.6;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;999050;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;0;0;0;0;0;0;2.728;7.272;0;0;0;0;0;0.6;-2.77556e-15;16.616;44.64;0.0;0.0;./sim_seasonal_tsd_26_03_2026_093925_6
2657834546;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.6;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;999050;0.308424;0.0895232;-0.270371;0.0358356;0.507366;0.135866;0;0;1.97735;0.00086888;5.908;0.083536;0.04;0;0;0;0;0;1.464;8.536;1;1;0;0;10;0.6;-2.77556e-15;8.656;53.484;0.04;0.0;./sim_seasonal_tsd_26_03_2026_093925_5
475977970;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0.6;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.662796;0.00180869;-9.64659;0.0568729;0.69864;0.00172191;9.93493;0.003992;1.94228;0.0042716;0;0;0;0;0;0;0;0;0;0;0;0.4972;0;5.028;4.972;0.6;-2.22045e-15;22.992;21.236;41.388;17.632;./sim_seasonal_tsd_26_03_2026_093925_17
127884261;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.6;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.658062;0.00202281;8.73804;0.0434227;0.720394;0.001059;9.92122;0.0037447;1.92635;0.00510351;0;0;0;0;0;0;0;0;0;0;0;0.394;0;6.06;3.94;0.6;-2.22045e-15;19.868;24.748;18.056;47.828;./sim_seasonal_tsd_26_03_2026_093925_20
1360662466;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.6;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.651748;0.00206243;9.00769;0.0484368;0.71618;0.00128196;9.92921;0.00609071;1.91717;0.00730806;0;0;0;0;0;0;0;0;0;0;0;0.4204;0;5.796;4.204;0.6;-2.22045e-15;20.252;29.204;16.752;48.008;./sim_seasonal_tsd_26_03_2026_093925_18
